#LINK,,,,,,
#lang,ja,,,,,
#attribution_name,高松市,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,
#file_name,0041,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/park,,,,,
#property,name,address,telephoneNumber,referenceObject,note,location
#object_type_xsd,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
1,松島公園,高松市松島町二丁目14-46,,,,"34.33784694,134.06227139"
2,亀岡公園,高松市亀岡町7-19,,,,"34.33677361,134.04090083"
3,番町二丁目公園,高松市番町二丁目13-12,,,,"34.34495889,134.04059389"
4,北浜小公園,高松市北浜町9-1,,,,"34.35013139,134.05548278"
5,城東公園,高松市城東町一丁目6-11,,,,"34.34639083,134.05741861"
6,御坊町小公園,高松市御坊町5-9,,,,"34.34320167,134.05398972"
7,塩上小公園,高松市塩上町二丁目7-5,,,,"34.33945139,134.05519083"
8,花園第一公園,高松市多賀町一丁目1-7,,,,"34.33675472,134.05686194"
9,花園第二公園,高松市塩上町二丁目19,,,,"34.33678528,134.05579"
10,藤塚小公園,高松市藤塚町二丁目12-43,,,,"34.33255861,134.04919778"
11,中野町公園,高松市中野町26-1,,,,"34.33357722,134.04398556"
12,番町四丁目公園,高松市番町四丁目12-19,,,,"34.34024,134.03977444"
13,新開西公園,高松市松福町二丁目1-9,,,,"34.34340972,134.06350556"
14,新開東公園,高松市松福町二丁目8-1,,,,"34.34276806,134.06683583"
15,沖松島北公園,高松市福岡町三丁目28-3,,,,"34.34334306,134.06924889"
16,沖松島中公園,高松市福岡町三丁目19-13,,,,"34.34360139,134.07199389"
17,沖松島新公園,高松市福岡町四丁目32-3,,,,"34.34054389,134.07118972"
18,沖松島南公園,高松市福岡町四丁目27-3,,,,"34.34040444,134.06829694"
19,松島北公園,高松市松島町二丁目9-1,,,,"34.33824083,134.06681389"
20,松島南公園,高松市多賀町三丁目7-1,,,,"34.33671611,134.06480306"
21,西方寺公園,高松市西宝町三丁目506-15,,,,"34.34227472,134.02650722"
22,沖松島西公園,高松市福岡町四丁目33-2,,,,"34.34087417,134.07225778"
23,扇町公園,高松市扇町一丁目104,,,,"34.3475075,134.03733306"
24,洲端公園,高松市松島町三丁目2287-1,,,,"34.33856889,134.07189306"
25,松島中公園,高松市松島町二丁目12-24,,,,"34.33842639,134.06473528"
26,瓦町小公園,高松市瓦町二丁目8-63,,,,"34.33985694,134.05130694"
27,香西公園,高松市香西北町201,,,,"34.35446528,133.99676333"
28,三条公園,高松市三条町450-1,,,,"34.31794333,134.04841306"
29,赤牛公園,高松市高松町3004-1,,,,"34.34088278,134.1119325"
30,一本松公園,高松市高松町3009-14,,,,"34.3393,134.11139639"
31,鞍掛公園,高松市高松町3013-3,,,,"34.33837778,134.10822806"
32,下田井公園,高松市下田井町215-4,,,,"34.29374389,134.09496139"
33,郷東第一公園,高松市郷東町13,,,,"34.34268917,134.01613222"
34,郷東第二公園,高松市郷東町24,,,,"34.34240778,134.01213444"
35,明見公園,高松市鶴市町2040,,,,"34.33794611,134.01139139"
36,中津公園,高松市鶴市町2014,,,,"34.3400975,134.01353389"
37,新北町南公園,高松市新北町8,,,,"34.3517325,134.02541028"
38,新北町北公園,高松市新北町32,,,,"34.35371889,134.0275475"
39,永之谷公園,高松市高松町1727-1,,,,"34.33557889,134.11286472"
40,津之町公園,高松市高松町1821,,,,"34.3374875,134.11452639"
41,扇町西公園,高松市扇町三丁目214-2,,,,"34.34633639,134.03157222"
42,上之町北公園,高松市上之町一丁目3-27,,,,"34.32228778,134.04512306"
43,ハゼ東公園,高松市東ハゼ町4-7,,,,"34.32107278,134.04272222"
44,上之町南公園,高松市上之町一丁目14-8,,,,"34.31972944,134.0454825"
45,つくだ橋公園,高松市上之町一丁目17-1,,,,"34.3195475,134.04336778"
46,ハゼ西公園,高松市東ハゼ町18-6,,,,"34.31887861,134.03930972"
47,姥ヶ池公園,高松市亀岡町871-1,,,,"34.33609722,134.03912083"
48,花園公園,高松市花園町二丁目1271-6,,,,"34.33333972,134.05611167"
49,上福岡宮西公園,高松市上福岡町2049-1,,,,"34.32729417,134.06018083"
50,松縄北公園,高松市松縄町25-6,,,,"34.32417306,134.06537278"
51,松縄東公園,高松市松縄町40-8,,,,"34.32147833,134.06496583"
52,松縄西公園,高松市松縄町47-1,,,,"34.32236028,134.06104056"
53,今里西脇公園,高松市今里町8-22,,,,"34.32274778,134.05749972"
54,新浜公園,高松市屋島西町2290-7,,,,"34.35724917,134.08869778"
55,屋島中央公園,高松市屋島西町2313,,,,"34.35329972,134.08723278"
56,亥浜公園,高松市屋島西町2478,,,,"34.3533125,134.09085194"
57,景山公園,高松市屋島西町2501-1,,,,"34.34818056,134.09079361"
58,上福岡弁財天公園,高松市上福岡町2006,,,,"34.33019639,134.06192"
59,上福岡宮東公園,高松市上福岡町2058-1,,,,"34.32700972,134.0624125"
60,亥浜第二公園,高松市屋島西町2488,,,,"34.34856333,134.08787167"
61,洲端第二公園,高松市木太町2325-2,,,,"34.3356975,134.07202722"
62,今里東脇公園,高松市今里町二丁目26-11,,,,"34.32386194,134.061015"
63,今里楠川公園,高松市今里町一丁目2-3,,,,"34.32930833,134.05909"
64,相引東公園,高松市高松町2288-41,,,,"34.34216694,134.11622083"
65,洲端西公園,高松市観光町528-2,,,,"34.33481222,134.06700806"
66,新田公園,高松市新田町甲2538-3,,,,"34.32295861,134.09834583"
67,高田公園,高松市上天神町405-2,,,,"34.31331611,134.04297611"
68,杣場川公園,高松市城東町一丁目5-15,,,,"34.34582611,134.05873444"
69,松島東公園,高松市松島町三丁目58-1,,,,"34.33748333,134.06983056"
70,木太北部公園,高松市木太町2541-1,,,,"34.33558528,134.07842556"
71,さこ公園,高松市林町2524,,,,"34.30689444,134.06865111"
72,さこ西公園,高松市林町2550,,,,"34.30485056,134.06628417"
73,伏石中公園,高松市伏石町2043,,,,"34.31552472,134.056205"
74,多肥東公園,高松市多肥下町1534,,,,"34.30342861,134.06018611"
75,木太新開公園,高松市木太町2415-5,,,,"34.34025111,134.07598139"
76,伏石東公園,高松市松縄町1141,,,,"34.31084639,134.06178806"
77,居石ふれあい公園,高松市伏石町2175,,,,"34.3070825,134.05381333"
78,多肥北公園,高松市多肥下町1502,,,,"34.30624083,134.05828722"
79,多肥南公園,高松市多肥下町1566,,,,"34.30004778,134.05699222"
80,三軒屋公園,高松市伏石町2156,,,,"34.30538833,134.06262389"
81,天皇公園,高松市林町2555,,,,"34.30379222,134.06898611"
82,松縄下所公園,高松市松縄町1120-1,,,,"34.31620139,134.0602775"
83,下西原公園,高松市木太町5012,,,,"34.31770444,134.06855778"
84,伏石北公園,高松市伏石町2023,,,,"34.31925389,134.05668667"
85,松縄天満公園,高松市松縄町1072,,,,"34.31850667,134.06490833"
86,木太宮前公園,高松市木太町5043,,,,"34.31393222,134.068495"
87,伏石立石公園,高松市伏石町2098,,,,"34.31123444,134.05769861"
88,伏石南公園,高松市伏石町2127,,,,"34.30964278,134.05466917"
89,平塚公園,高松市木太町5106,,,,"34.31078583,134.06613111"
90,多肥西公園,高松市多肥下町1574,,,,"34.30002222,134.0525"
91,乾船入南公園,高松市郷東町990,,,,"34.34903333,134.01291472"
92,乾船入北公園,高松市郷東町992,,,,"34.34977472,134.01323028"
93,郷東町新地北公園,高松市郷東町587-21,,,,"34.34982972,134.01706611"
94,郷東町新地東公園,高松市郷東町655-1,,,,"34.34861444,134.01891083"
95,福岡三丁目公園,高松市福岡町三丁目379-12,,,,"34.34483583,134.07054806"
96,半田公園,高松市飯田町267-1,,,,"34.31725528,133.99683444"
97,小坂公園,高松市飯田町643-1,,,,"34.3208475,133.99990917"
98,鹿角公園,高松市鹿角町250-1,,,,"34.30298056,134.03298139"
99,青木公園,高松市飯田町1219-1,,,,"34.32054417,134.00578028"
100,花園ふれあい公園,高松市花園町二丁目1307-1,,,,"34.33299833,134.05972778"
101,大的場公園,高松市浜ノ町75,,,,"34.35065667,134.04207028"
102,錦町公園,高松市錦町一丁目22-4,,,,"34.34959361,134.04415528"
103,十川ふれあい公園,高松市十川西町613-1,,,,"34.27090778,134.10594"
104,由良川東公園,高松市由良町369-1,,,,"34.28339472,134.08713639"
105,川島中央公園,高松市川島本町117-36,,,,"34.27725194,134.08583472"
106,塩上三丁目公園,高松市塩上町三丁目9-3,,,,"34.33933611,134.05701722"
107,生島ふれあい公園,高松市生島町689-16,,,,"34.36361639,133.96822778"
108,岡の山公園,高松市牟礼町牟礼1300-2,,,,"34.34516583,134.13526472"
109,浜西公園,高松市牟礼町牟礼2587-5,,,,"34.34647694,134.1205975"
110,川西公園,高松市牟礼町大町446-15,,,,"34.34186639,134.15369861"
111,原児童公園,高松市牟礼町原364-20,,,,"34.32783389,134.16364111"
112,野上公園,高松市牟礼町牟礼89-1,,,,"34.34047667,134.14135611"
113,新居児童公園,高松市国分寺町新居1480-2,,,,"34.30059278,133.9587775"
114,岡本公園,高松市岡本町531‐3,,,,"34.26689667,133.99631361"
116,前田勘定公園,高松市前田西町859-29,,,,"34.30438389,134.10580722"
